[Thu Feb 27 02:24:06.824441 2020] [php7:notice] [pid 12039] [client 192.168.20.16:62517] PHP Notice:  session_start(): A session had already been started - ignoring in /home/bnhfijvh-m2/db.php on line 7, referer: http://bnhfijvh-m2.wsr.ru/upload.php
[Thu Feb 27 02:24:06.824714 2020] [php7:notice] [pid 12039] [client 192.168.20.16:62517] PHP Notice:  Undefined index: img in /home/bnhfijvh-m2/upload.php on line 25, referer: http://bnhfijvh-m2.wsr.ru/upload.php
[Thu Feb 27 02:24:06.824723 2020] [php7:notice] [pid 12039] [client 192.168.20.16:62517] PHP Notice:  Undefined index: img in /home/bnhfijvh-m2/upload.php on line 32, referer: http://bnhfijvh-m2.wsr.ru/upload.php
[Thu Feb 27 02:24:06.824761 2020] [php7:warn] [pid 12039] [client 192.168.20.16:62517] PHP Warning:  getimagesize(): Filename cannot be empty in /home/bnhfijvh-m2/upload.php on line 41, referer: http://bnhfijvh-m2.wsr.ru/upload.php
[Thu Feb 27 02:24:06.824770 2020] [php7:warn] [pid 12039] [client 192.168.20.16:62517] PHP Warning:  file_get_contents(): Filename cannot be empty in /home/bnhfijvh-m2/upload.php on line 45, referer: http://bnhfijvh-m2.wsr.ru/upload.php
[Thu Feb 27 02:24:06.824781 2020] [php7:warn] [pid 12039] [client 192.168.20.16:62517] PHP Warning:  imagecreatefromstring(): Empty string or invalid image in /home/bnhfijvh-m2/upload.php on line 45, referer: http://bnhfijvh-m2.wsr.ru/upload.php
[Thu Feb 27 02:24:06.824787 2020] [php7:warn] [pid 12039] [client 192.168.20.16:62517] PHP Warning:  imagecrop() expects parameter 1 to be resource, boolean given in /home/bnhfijvh-m2/upload.php on line 45, referer: http://bnhfijvh-m2.wsr.ru/upload.php
[Thu Feb 27 02:24:06.824790 2020] [php7:warn] [pid 12039] [client 192.168.20.16:62517] PHP Warning:  imagepng() expects parameter 1 to be resource, null given in /home/bnhfijvh-m2/upload.php on line 48, referer: http://bnhfijvh-m2.wsr.ru/upload.php
[Thu Feb 27 02:24:13.853565 2020] [php7:notice] [pid 12041] [client 192.168.20.16:62519] PHP Notice:  session_start(): A session had already been started - ignoring in /home/bnhfijvh-m2/db.php on line 7, referer: http://bnhfijvh-m2.wsr.ru/upload.php
[Thu Feb 27 02:24:13.854745 2020] [php7:notice] [pid 12041] [client 192.168.20.16:62519] PHP Notice:  Undefined index: img in /home/bnhfijvh-m2/upload.php on line 25, referer: http://bnhfijvh-m2.wsr.ru/upload.php
[Thu Feb 27 02:24:13.854789 2020] [php7:notice] [pid 12041] [client 192.168.20.16:62519] PHP Notice:  Undefined index: img in /home/bnhfijvh-m2/upload.php on line 32, referer: http://bnhfijvh-m2.wsr.ru/upload.php
